A0A7P0T964	A0A7P0T964
A0A7P0T964	D6RIV8
A0A7P0T964	A0A7P0T7Z3
A0A7P0T964	A0A7P0T821
A0A7P0T964	A0A7P0T848
P16143	P16143
P16143	P31503
P16143	Q28BL7
P16143	F1LRD7
P16143	K9IV21
P16143	I1E4X2
P16143	A0A0P0GE07
P16143	A0A0R4J1Z4
P16143	P15143
P16143	B3KRE9
P16143	P25425
P16143	E9Q6Z8
P16143	A0A0A0MQE0
P16143	F8VQL7
P16143	Q29076
P16143	A0A0G2K3N5
P16143	A0A8I6AHE9
P16143	Q0VC94
P16143	P14859
P16143	G2HJB3
P16143	A4IFW4
P16143	A0A345S7Y2
P16143	A0A0A0MT46
P16143	A0A0C4DG88
P16143	O57602
P23737	P23737
H3BL72	H3BL72
H3BL72	E0YMJ0
H3BL72	E0YMI8
H3BL72	E0YMJ7
L7P845	L7P845
Q6N370	Q6N370
Q9F0J8	Q9F0J8
D3ZJF7	D3ZJF7
D3ZJF7	O35144
D3ZJF7	F1S2L2
D3ZJF7	I2CTL7
D3ZJF7	K9ISP2
D3ZJF7	D3YZ08
D3ZJF7	E9QM06
D3ZJF7	Q539Y5
D3ZJF7	Q539Y6
D3ZJF7	A0A8W4FR40
D3ZJF7	Q15554
D3ZJF7	Q1WM12
D3ZJF7	B8QB44
D3ZJF7	B8QB41
D3ZJF7	A0AB32TNK0
D3ZJF7	F1QRC8
D3ZJF7	A0A8M3ART8
D3ZJF7	A0A8M9QAZ0
D3ZJF7	Q8JGS4
D3ZJF7	A0A8M3B9A0
D3ZJF7	A0A8M9Q073
D3ZJF7	A0AB32TQH7
D3ZJF7	A0AB32TM27
D3ZJF7	Q4FZZ9
P07548	P07548
P32591	P32591
P79005	P79005
Q9VW97	Q9VW97
Q9VW97	W8B504
Q9VW97	M9PFR5
Q9VW97	A0A4Y6EQY6
Q9VW97	A0A069DWN6
Q9VW97	A0A2L2Y9V1
Q9VW97	A0A0P4W046
Q9VW97	T2MHY7
Q9VW97	A0A8I5KXU4
Q9VW97	A0A5B9GC92
Q9VW97	R4GMQ1
Q9VW97	A8WC96
Q9VW97	U3BZN3
Q9VW97	A0A287A9K0
Q9VW97	F6NIA2
Q9VW97	A0A0P0UQI8
Q9VW97	A0A498MN14
Q9VW97	U3E0W7
